,country,country_code,gold,silver,bronze,total
0,Germany,GER,12,9,8,29
1,Norway,NOR,10,10,5,25
2,Russian Federation,RUS,9,6,3,18
3,Canada,CAN,6,5,4,15
4,United States,USA,6,3,4,13
5,Netherlands,NED,5,4,2,11
6,Japan,JPN,5,1,4,10
7,Austria,AUT,3,5,9,17
8,Republic of Korea,KOR,3,1,2,6
9,Italy,ITA,2,6,2,10
10,Finland,FIN,2,4,6,12
11,Switzerland,SUI,2,2,3,7
12,France,FRA,2,1,5,8
13,Czech Republic,CZE,1,1,1,3
14,Bulgaria,BUL,1,0,0,1
15,People's Republic of China,CHN,0,6,2,8
16,Sweden,SWE,0,2,1,3
17,Denmark,DEN,0,1,0,1
18,Ukraine,UKR,0,1,0,1
19,Belarus,BLR,0,0,2,2
20,Kazakhstan,KAZ,0,0,2,2
21,Australia,AUS,0,0,1,1
22,Belgium,BEL,0,0,1,1
23,Great Britain,GBR,0,0,1,1
