,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,103.83386181347149,99.68719056942925,96.57081431045266,92.7653823051161,101.3652625763324,98.94296447346233,95.82658821447558,92.02115620911788,100.62103648034329,98.1987383774522,95.08236211851894,91.27693011320211,99.87681038437361,97.45451228153608,94.33813602253285,90.53270401720322,99.13258428838867,96.71028618553603,93.59390992650015,89.78847792117728,98.3883581923912,95.96606008950057,92.84968383052741,89.04425182518828,97.64413209640341,95.2218339935229,92.10545773450848,88.30002572918548,96.89990600040069,94.47760789754315,91.3612316385675
AFG,103.10570614661968,103.54484389721738,103.8691600597827,104.25569740335351,103.2889862781219,103.54533651133896,103.86965267390728,104.25619001751583,103.28947889230994,103.54582912550156,103.87014528810282,104.25668263163587,103.28997150647132,103.54632173966382,103.87063790222689,104.2571752458098,103.2904641206307,103.54681435382,103.87113051636528,104.25766785996939,103.29095673476843,103.54730696798508,103.87162313053594,104.25816047409016,103.29144934891458,103.54779958214507,103.87211574474892,104.25865308827932,103.29194196311158,103.54829219629416,103.872608358856
AGO,89.0338460314778,92.55658794444369,95.5129964247975,99.2598666757892,92.33514339932701,94.49606406249691,97.4524725428582,101.19934279387466,94.27461951740662,96.43554018058992,99.39194866091263,103.13881891187823,96.21409563546982,98.37501629860932,101.33142477898096,105.07829502996641,98.1535717535427,100.31449241669353,103.27090089709151,107.01777114807649,100.09304787162111,102.25396853480704,105.21037701515581,108.95724726614651,102.03252398969401,104.19344465287435,107.14985313326628,110.89672338424083,103.97200010778377,106.13292077094165,109.08932925129315
ALB,124.82628767515769,134.71858044706187,142.17852281119355,151.29864377709055,129.36282963381996,135.15008949774023,142.61003186189674,151.73015282784624,129.79433868455135,135.58159854852622,143.04154091254827,152.16166187839616,130.22584773523434,136.0131075990744,143.47304996327398,152.59317092915404,130.65735678595684,136.44461664983487,143.90455901411605,153.0246799799783,131.0888658367125,136.87612570068495,144.3360680648076,153.4561890307104,131.5203748874427,137.30763475138846,144.76757711561476,153.88769808147754,131.95188393820814,137.7391438020985,145.19908616622763
ARE,71.07819730961769,69.50297815427675,68.80500375415849,68.16587068312339,66.44311962416286,65.6855828941122,64.98760849399471,64.3484754229635,62.62572436400332,61.86818763395328,61.170213233833394,60.53108016279431,58.80832910384093,58.05079237378666,57.35281797367031,56.71368490263527,54.99093384367977,54.23339711362654,53.535422713511835,52.89628964247748,51.173538583518685,50.41600185346985,49.718027453350366,49.078894382314225,47.35614332335715,46.598606593308105,45.9006321931951,45.26149912215645,43.53874806319916,42.78121133314602,42.083236933027386
ARG,97.81237333332791,98.7270269041092,99.41082623443275,100.24365958317235,98.16729534772031,98.70052509107147,99.38432442139737,100.21715777014441,98.14079353469167,98.67402327804632,99.35782260836243,100.19065595709476,98.11429172165704,98.64752146499943,99.33132079532903,100.16415414406795,98.0877899086258,98.62101965197158,99.30481898230721,100.13765233104596,98.06128809559642,98.59451783895244,99.27831716927409,100.1111505180127,98.03478628256511,98.56801602591966,99.2518153562545,100.08464870498796,98.00828446954029,98.54151421288665,99.22531354320967
ARM,113.56141371009318,108.07795050286606,104.56911150866968,100.55409281338426,107.07135880118436,104.07283118404308,100.56399218983762,96.54897349453582,103.06623948234385,100.06771186518367,96.55887287102529,92.54385417575423,99.06112016352044,96.06259254640645,92.55375355218561,88.53873485690556,95.05600084468293,92.05747322755562,88.54863423330684,84.53361553803411,91.05088152583318,88.05235390867401,84.54351491448006,80.52849621919185,87.04576220699272,84.0472345898429,80.53839559561553,76.52337690034054,83.0406428881399,80.04211527100959,76.5332762768135
ATG,119.30907275590536,124.4435610334937,127.76409501114836,131.5814376451719,124.2937063732776,127.11316587766827,130.43369985533238,134.25104248937268,126.96331121746908,129.782770721881,133.1033046994948,136.92064733350387,129.6329160616427,132.45237556600574,135.7729095436871,139.59025217770494,132.302520905832,135.12198041020935,138.44251438791997,142.2598570219297,134.97212575003564,137.79158525444578,141.1121192320979,144.92946186612397,137.64173059422865,140.4611900986282,143.78172407631502,147.59906671032778,140.31133543843305,143.13079494281314,146.45132892046774
AUS,98.92872086391299,97.7796628036312,96.97961110749208,96.03004799863257,97.73740636800116,97.0875503214251,96.28749862528382,95.33793551642255,97.04529388579485,96.39543783921243,95.59538614308565,94.64582303422748,96.353181403591,95.70332535702059,94.90327366087534,93.95371055201826,95.66106892138366,95.0112128748097,94.21116117865576,93.26159806980185,94.96895643917209,94.31910039259157,93.51904869645205,92.56948558759044,94.27684395696325,93.62698791038594,92.82693621424134,91.87737310538162,93.58473147475453,92.934875428179,92.13482373203976
AUT,97.02065617758329,99.20198388154252,100.95114927550145,103.13214231262776,98.0389409072505,99.35069944422733,101.0998648381927,103.2808578753498,98.18765646998027,99.49941500695542,101.24858040090953,103.42957343800525,98.33637203268687,99.6481305696343,101.39729596360536,103.57828900073376,98.48508759540026,99.79684613235388,101.54601152633336,103.72700456346938,98.63380315810898,99.94556169509637,101.69472708904591,103.87572012616488,98.78251872081705,100.09427725780614,101.84344265180492,104.02443568890338,98.93123428355803,100.2429928205116,101.992158214468
