Olympiad,Year,"Host City, Country"
,1924,"Chamonix, France"
,1928,"Sankt Moritz, Switzerland"
,1932,"Lake Placid, USA"
,1936,"Garmisch-Partenkirchen, Germany"
,1940,"Garmisch-Partenkirchen, Germany"
,1944,"Cortina d'Ampezzo, Italy"
,1948,"Sankt Moritz, Switzerland"
,1952,"Oslo, Norway"
,1956,"Cortina d'Ampezzo, Italy"
,1960,"Squaw Valley, USA"
,1964,"Innsbruck, Austria"
,1968,"Grenoble, France"
,1972,"Sapporo, Japan"
,1976,"Innsbruck, Austria"
,1980,"Lake Placid, USA"
,1984,"Sarajevo, Yugoslavia"
,1988,"Calgary, Canada"
,1992,"Albertville, France"
,1994,"Lillehammer, Norway"
,1998,"Nagano, Japan"
,2002,"Salt Lake City, USA"
,2006,"Torino, Italy"
,2010,"Vancouver, Canada"
,2014,"Sochi, Russia"
,2018,"PyeongChang, Korea"
,2022,"Beijing, China"
,2026,"Milano-Cortina d'Ampezzo, Italy"
