Country,City,Failed_Bids,Success_Bids
Argentina,Buenos Aires,"[1936, 1956, 1968, 2004]",[]
Australia,Brisbane,[1992],[2032]
Australia,Melbourne,[1996],[1956]
Australia,Sydney,[],[2000]
Austria,Vienna,[1964],[]
Azerbaijan,Baku,"[2016, 2020]",[]
Belgium,Antwerp,[],[1920]
Belgium,Brussels,"[1916, 1960, 1964]",[]
Brazil,Brasilia,[2000],[]
Brazil,Rio de Janeiro,"[1936, 2004, 2012]",[2016]
Canada,Montreal,"[1944, 1956, 1972]",[1976]
Canada,Toronto,"[1996, 2008]",[]
China,Beijing,[2000],[2008]
Cuba,Havana,"[1920, 2008, 2012]",[]
Czech Republic,Prague,"[1924, 2016]",[]
Egypt,Alexandria,"[1916, 1936]",[]
Egypt,Cairo,[2008],[]
Finland,Helsinki,"[1936, 1944]","[1940, 1952]"
France,Lille,[2004],[]
France,Lyon,"[1920, 1968]",[]
France,Paris,"[1992, 2008, 2012]","[1900, 1924, 2024]"
Germany,Berlin,"[1908, 2000]","[1916, 1936]"
Germany,Cologne,[1936],[]
Germany,Frankfurt,[1936],[]
Germany,Hamburg,[2024],[]
Germany,Leipzig,[2012],[]
Germany,Nuremberg,[1936],[]
Germany,Munich,[],[1972]
United Kingdom,Birmingham,[1992],[]
United Kingdom,London,[],"[1908, 1948, 2012]"
United Kingdom,Manchester,"[1996, 2000]",[]
Greece,Athens,"[1944, 1952, 1996]","[1896, 2004]"
Hungary,Budapest,"[1916, 1920, 1936, 1944, 1960, 2024]",[]
Republic of Ireland,Dublin,[1936],[]
Italy,Milan,"[1908, 2000]",[]
Italy,Rome,"[1924, 1936, 1944, 2004, 2020, 2024]","[1908, 1960]"
Japan,Nagoya,[1988],[]
Japan,Osaka,[2008],[]
Japan,Tokyo,"[1960, 2016]","[1940, 1964, 2020]"
Malaysia,Kuala Lumpur,[2008],[]
Mexico,Mexico City,"[1956, 1960]",[1968]
Mexico,Guadalajara,[2024],[]
Netherlands,Amsterdam,"[1916, 1920, 1924, 1952, 1992]",[1928]
Puerto Rico,San Juan,[2004],[]
Qatar,Doha,"[2016, 2020]",[]
Russia,Moscow,"[1976, 2012]",[1980]
Russia,Saint Petersburg,[2004],[]
South Africa,Cape Town,[2004],[]
South Korea,Seoul,[],[1988]
Spain,Barcelona,[1936],[1992]
Spain,Madrid,"[1972, 2012, 2016, 2020]",[]
Spain,Seville,"[2004, 2008]",[]
Sweden,Stockholm,"[1952, 2004]","[1912, 1956]"
Switzerland,Lausanne,"[1936, 1944, 1948, 1952, 1960]",[]
Thailand,Bangkok,[2008],[]
Turkey,Istanbul,"[2000, 2004, 2008, 2012, 2020]",[]
United States,Atlanta,[1920],[1996]
United States,Baltimore,[1948],[]
United States,Chicago,"[1952, 1956, 2016]",[1904]
United States,Cleveland,"[1916, 1920]",[]
United States,Detroit,"[1944, 1952, 1956, 1960, 1964, 1968, 1972]",[]
United States,Los Angeles,"[1924, 1928, 1948, 1952, 1956, 1976, 1980, 2024]","[1932, 1984, 2028]"
United States,Minneapolis,"[1948, 1952, 1956]",[]
United States,New York City,[2012],[]
United States,Philadelphia,"[1920, 1948, 1952, 1956]",[]
United States,San Francisco,[1956],[]
United States,St. Louis,[],[1904]
United States,Boston,[2024],[]
United States,"Washington, D.C.",[2024],[]
Uzbekistan,Tashkent,[2000],[]
Socialist Federal Republic of Yugoslavia,Belgrade,"[1992, 1996]",[]
