,edition_code,edition,year,city,country_code,timeline
0,29,I,1924,Chamonix,FRA,26 January –  4 February
1,30,II,1928,Sankt Moritz,SUI,11 – 19 February
2,31,III,1932,Lake Placid,USA,4 – 15 February
3,32,IV,1936,Garmisch-Partenkirchen,GER,6 – 16 February
4,,,1940,Garmisch-Partenkirchen,GER,
5,,,1944,Cortina d'Ampezzo,ITA,
6,33,V,1948,Sankt Moritz,SUI,30 January –  8 February
7,34,VI,1952,Oslo,NOR,14 – 25 February
8,35,VII,1956,Cortina d'Ampezzo,ITA,26 January –  5 February
9,36,VIII,1960,Squaw Valley,USA,19 – 28 February
10,37,IX,1964,Innsbruck,AUT,27 January –  9 February
11,38,X,1968,Grenoble,FRA,4 – 18 February
12,39,XI,1972,Sapporo,JPN,3 – 13 February
13,40,XII,1976,Innsbruck,AUT,3 – 15 February
14,41,XIII,1980,Lake Placid,USA,12 – 24 February
15,42,XIV,1984,Sarajevo,YUG,7 – 19 February
16,43,XV,1988,Calgary,CAN,13 – 28 February
17,44,XVI,1992,Albertville,FRA,8 – 23 February
18,45,XVII,1994,Lillehammer,NOR,12 – 27 February
19,46,XVIII,1998,Nagano,JPN,7 – 22 February
20,47,XIX,2002,Salt Lake City,USA,9 – 24 February
21,49,XX,2006,Torino,ITA,11 – 26 February
22,57,XXI,2010,Vancouver,CAN,12 – 28 February
23,58,XXII,2014,Sochi,RUS,6 – 23 February
24,60,XXIII,2018,PyeongChang,KOR,8 – 25 February
25,62,XXIV,2022,Beijing,CHN,2 – 20 February
26,72,XXV,2026,Milano-Cortina d'Ampezzo,ITA,
