Country,City,Failed_Bids,Success_Bids
Andorra,Andorra la Vella,[2010],[]
Austria,Graz,"[2002, 2026]",[]
Austria,Innsbruck,[1960],"[1964, 1976]"
Austria,Klagenfurt,[2006],[]
Austria,Salzburg,"[2010, 2014]",[]
Bulgaria,Sofia,"[1992, 1994, 2014]",[]
Canada,Banff,[1972],[]
Canada,Calgary,"[1964, 1968, 2026]",[1988]
Canada,Montreal,"[1932, 1936, 1944, 1956]",[]
Canada,Quebec City,[2002],[]
Canada,Vancouver,"[1976, 1980]",[2010]
China,Beijing,[],[2022]
China,Harbin,[2010],[]
Finland,Helsinki,[2006],[]
Finland,Lahti,"[1964, 1968, 1972]",[]
Finland,Tampere,[1976],[]
France,Albertville,[],[1992]
France,Annecy,[2018],[]
France,Chamonix,[],[1924]
France,Grenoble,[],[1968]
Georgia (country),Borjomi,[2014],[]
Germany,Berchtesgaden,[1992],[]
Germany,Garmisch-Partenkirchen,[1960],[1936]
Germany,Munich,[2018],[]
Italy,Aosta,[1998],[]
Italy,Cortina d'Ampezzo,"[1944, 1952, 1988, 1992]","[1956, 2026]"
Italy,Milan,[],[2026]
Italy,Turin,[],[2006]
Japan,Nagano,[],[1998]
Japan,Sapporo,"[1968, 1984, 2026]",[1972]
Kazakhstan,Almaty,"[2014, 2022]",[]
Norway,Lillehammer,[1992],[1994]
Norway,Oslo,"[1932, 1944, 1968, 2022]",[1952]
Poland,Zakopane,[2006],[]
Poland,Krakow,[2022],[]
Russia,Sochi,[2002],[2014]
Slovakia,Poprad-Tatry,[2006],[]
South Korea,Pyeongchang,"[2010, 2014]",[2018]
Spain,Jaca,"[1998, 2002, 2010, 2014]",[]
Sweden,Falun,"[1988, 1992]",[]
Sweden,Åre,[2026],[]
Sweden,Gothenburg,[1984],[]
Sweden,Östersund,"[1994, 1998, 2002]",[]
Sweden,Stockholm,"[2022, 2026]",[]
Switzerland,Bern,[2010],[]
Switzerland,Davos,[1928],[]
Switzerland,Engelberg,[1928],[]
Switzerland,Sion,"[1976, 2002, 2006, 2026]",[]
Switzerland,St. Moritz,"[1936, 1960]","[1928, 1948]"
Turkey,Erzurum,[2026],[]
Ukraine,Lviv,[2022],[]
United States,Anchorage,"[1992, 1994]",[]
United States,Bear Mountain,[1932],[]
United States,Colorado Springs,[1956],[]
United States,Denver,[1932],[1976]
United States,Duluth,[1932],[]
United States,Lake Placid,"[1948, 1952, 1956, 1968]","[1932, 1980]"
United States,Lake Tahoe,[1932],[]
United States,Minneapolis,[1932],[]
United States,Salt Lake City,"[1972, 1998]",[2002]
United States,Squaw Valley,[],[1960]
United States,Yosemite Valley,[1932],[]
Socialist Federal Republic of Yugoslavia,Sarajevo,[2010],[1984]
