,sport_name,event_code,event_name,event_category,continued
0,canoeing,989,"Kayak Singles, 200 metres",Men,yes
1,canoeing,160,"Kayak Singles, 1,000 metres",Men,yes
2,canoeing,990,"Kayak Doubles, 200 metres",Men,yes
3,canoeing,163,"Kayak Doubles, 1,000 metres",Men,yes
4,canoeing,2575,"Kayak Fours, 500 metres",Men,yes
5,canoeing,165,"Kayak Fours, 1,000 metres",Men,yes
6,canoeing,991,"Canadian Singles, 200 metres",Men,yes
7,canoeing,169,"Canadian Singles, 1,000 metres",Men,yes
8,canoeing,172,"Canadian Doubles, 1,000 metres",Men,yes
9,canoeing,992,"Kayak Singles, 200 metres",Women,yes
10,canoeing,178,"Kayak Singles, 500 metres",Women,yes
11,canoeing,179,"Kayak Doubles, 500 metres",Women,yes
12,canoeing,180,"Kayak Fours, 500 metres",Women,yes
13,canoeing,2576,"Canadian Singles, 200 metres",Women,yes
14,canoeing,2577,"Canadian Doubles, 500 metres",Women,yes
15,canoeing,2098,"Kayak Singles, Obstacle Slalom",Boys,yes
16,canoeing,2095,"Kayak Singles, Head to Head",Boys,yes
17,canoeing,2099,"Canoe Singles, Obstacle Slalom",Boys,yes
18,canoeing,2096,"Canoe Singles, Head to Head",Boys,yes
19,canoeing,2097,"Kayak Singles, Head to Head",Girls,yes
20,canoeing,2100,"Kayak Singles, Obstacle Slalom",Girls,yes
21,canoeing,2293,"Canoe Singles, Head to Head",Girls,yes
22,canoeing,2294,"Canoe Singles, Obstacle Slalom",Girls,yes
23,canoeing,159,"Kayak Singles, 500 metres",Men,no
24,canoeing,162,"Kayak Doubles, 500 metres",Men,no
25,canoeing,166,"Kayak Relay, 4 × 500 metres",Men,no
26,canoeing,168,"Canadian Singles, 500 metres",Men,no
27,canoeing,171,"Canadian Doubles, 500 metres",Men,no
28,canoeing,776,"Kayak Singles, 800 metres",Men,no
29,canoeing,777,"Kayak Doubles, 800 metres",Men,no
30,canoeing,778,"Kayak Fours, 800 metres",Men,no
31,canoeing,779,"Canadian Singles, 800 metres",Men,no
32,canoeing,780,"Canadian Doubles, 800 metres",Men,no
33,canoeing,781,"Canadian Fours, 800 metres",Men,no
34,sailing,404,Windsurfer,Men,yes
35,sailing,405,One Person Dinghy,Men,yes
36,sailing,406,Two Person Dinghy,Men,yes
37,sailing,407,Two Person Keelboat,Men,yes
38,sailing,998,Skiff,Men,yes
39,sailing,999,One Person Heavyweight Dinghy,Men,yes
40,sailing,408,Windsurfer,Women,yes
41,sailing,409,One Person Dinghy,Women,yes
42,sailing,410,Two Person Dinghy,Women,yes
43,sailing,411,Three Person Keelboat,Women,yes
44,sailing,1026,Skiff,Women,yes
45,sailing,1036,Multihull,Mixed,yes
46,sailing,2168,Windsurfer,Boys,yes
47,sailing,2169,One Person Dinghy,Boys,yes
48,sailing,2472,Kiteboarding,Boys,yes
49,sailing,2170,Windsurfer,Girls,yes
50,sailing,2171,One Person Dinghy,Girls,yes
51,sailing,2473,Kiteboarding,Girls,yes
52,sailing,2474,Multihull,Mixed Youth,yes
53,sailing,685,Windsurfer,Open,no
54,sailing,412,One Person Dinghy,Open,no
55,sailing,413,Two Person Dinghy,Open,no
56,sailing,414,Two Person Keelboat,Open,no
57,sailing,416,Skiff,Open,no
58,sailing,417,Multihull,Open,no
59,sailing,418,Three Person Keelboat,Open,no
60,sailing,428,12 foot,Open,no
61,sailing,419,Two Person Heavyweight Dinghy,Open,no
62,sailing,427,18 foot,Open,no
63,sailing,420,5.5 metres,Open,no
64,sailing,421,6 metres,Open,no
65,sailing,422,6.5 metres,Open,no
66,sailing,423,7 metres,Open,no
67,sailing,424,8 metres,Open,no
68,sailing,425,10 metres,Open,no
69,sailing,426,12 metres,Open,no
70,sailing,429,30 metres²,Open,no
71,sailing,430,40 metres²,Open,no
72,sailing,431,Open,Open,no
73,sailing,432,0-½ Ton,Open,no
74,sailing,433,½-1 Ton,Open,no
75,sailing,434,1-2 Ton,Open,no
76,sailing,435,2-3 Ton,Open,no
77,sailing,436,3-10 Ton,Open,no
78,sailing,437,10-20 Ton,Open,no
79,sailing,438,20+ Ton,Open,no
80,skijoring,743,Ski Joring,Men,no
81,golf,305,Individual,Men,yes
82,golf,307,Individual,Women,yes
83,golf,2299,Individual,Boys,yes
84,golf,2300,Individual,Girls,yes
85,golf,2301,Team,Mixed Youth,yes
86,golf,2400,Driving Contest,Men,no
87,golf,2401,Putting Contest,Men,no
88,golf,306,Team,Men,no
89,golf,933,"Individual, Handicap",Men,no
90,golf,934,"Individual, Professional",Men,no
91,athletics,40,100 metres,Men,yes
92,athletics,41,200 metres,Men,yes
93,athletics,42,400 metres,Men,yes
94,athletics,43,800 metres,Men,yes
95,athletics,44,"1,500 metres",Men,yes
96,athletics,45,"5,000 metres",Men,yes
97,athletics,47,"10,000 metres",Men,yes
98,athletics,48,Marathon,Men,yes
99,athletics,49,110 metres Hurdles,Men,yes
100,athletics,51,400 metres Hurdles,Men,yes
101,athletics,54,"3,000 metres Steeplechase",Men,yes
102,athletics,57,4 × 100 metres Relay,Men,yes
