,country,country_code,gold,silver,bronze,total
0,Germany,GER,10,10,6,26
1,Unified Team,EUN,9,6,8,23
2,Norway,NOR,9,6,5,20
3,Austria,AUT,6,7,8,21
4,United States,USA,5,4,2,11
5,Italy,ITA,4,6,4,14
6,France,FRA,3,5,1,9
7,Finland,FIN,3,1,3,7
8,Canada,CAN,2,3,2,7
9,Republic of Korea,KOR,2,1,1,4
10,Japan,JPN,1,2,4,7
11,Netherlands,NED,1,1,2,4
12,Sweden,SWE,1,0,3,4
13,Switzerland,SUI,1,0,2,3
14,People's Republic of China,CHN,0,3,0,3
15,Luxembourg,LUX,0,2,0,2
16,New Zealand,NZL,0,1,0,1
17,Czechoslovakia,TCH,0,0,3,3
18,Democratic People's Republic of Korea,PRK,0,0,1,1
19,Spain,ESP,0,0,1,1
