,Host City,Year,Final OperatingBudget,Total Costs,Taxpayer Contribution,Profit/Loss,Year Debt Paid Off,Notes
0,Athens Summer Olympics,1896,,"3,740,000 ₯[6]",,,,"Donations by George Averoff of 1,000,000 ₯ covered potential losses"
1, Paris Summer Olympics,1900,,,,,,
2, St. Louis Summer Olympics,1904,,,,,,
3, London Summer Olympics,1908,,"US$394,000 est.[6]",," £6,377",,
4, Stockholm Summer Olympics,1912,,,,,,
5, Antwerp Summer Olympics,1920,,,,,,
6,Chamonix Winter Olympics,1924,,"3,500,000₣","2,000,000₣",,,
7,Paris Summer Olympics,1924,,,," 5,496,610₣[6]",,
8,St. Moritz Winter Olympics,1928,,"CHF706,000",," CHF104,800",,
9,Amsterdam Summer Olympics,1928,,"$1,183,000[6]",," $18,000",,
10, Lake Placid Winter Olympics,1932,,,,,,
11, Los Angeles Summer Olympics,1932,,,," $1,000,000[6]",,
12, Garmisch-Partenkirchen Winter Olympics,1936,,,,,,
13,Berlin Summer Olympics,1936,,"$30,000,000[6]",,,,
14, St. Moritz Winter Olympics,1948,,,,,,
15, London Summer Olympics,1948,"£761,688[7]",,," £29,000[6]",,
16, Oslo Winter Olympics,1952,,,,,,
17, Helsinki Summer Olympics,1952,,"1,580,000,000 mk[6]",," 49,000,000 mk",,
18, Cortina Winter Olympics,1956,,,lira 460 million,,,
19, Melbourne Summer Olympics,1956,"A£5,400,000[7]",,,"A£300,000[6]",,
20, Squaw Valley Winter Olympics,1960,US$80 million[8],,,,,
21, Rome Summer Olympics,1960,,,,,,
22, Innsbruck Winter Olympics,1964,,,,,,
23, Tokyo Summer Olympics,1964,"US$72,000,000[7]","US$1,926,000,000[6]",,,,
24, Grenoble Winter Olympics,1968,,,,,,
25, Mexico City Summer Olympics,1968,"US$176,000,000[7]",,,,,
26, Sapporo Winter Olympics,1972,,,,,,
27,Munich Summer Olympics,1972,"1,972,000,000 DM[6]",,,,,
28, Innsbruck Winter Olympics,1976,,,,,,
29, Montreal Summer Olympics,1976,"CDN$207,000,000[9]","CDN$1,410,000,000[9]",," CDN$990,000[9]",2006,A special tobacco tax was introduced in May 1976 to fund the loss
30, Lake Placid Winter Olympics,1980,"US$49,000,000[10]","US$169,000,000[10]",,,,
31, Moscow Summer Olympics,1980,"US$231,000,000[11]","US$1,350,000,000[11]US$2,000,000,000[6]",," US$1,190,000 deficit[citation needed]",,This was the year that The United States and 64 other Nations boycotted due to the Soviet invasion of Afghanistan.
32, Sarajevo Winter Olympics,1984,"US$55,400,000[12]","US$110,900,000[12]",," US$10,000,000 [12]",,The first Olympics since 1948 to make a profit
